exp;video;cytokinesis;cut;x;y
EXP1;Control-10;10;30;694;458
EXP1;Control-10;26;47;891;938
EXP1;Control-10;66;78;1529;920
EXP1;Control-10;75;91;469;948
EXP1;Control-10;82;96;413;325
EXP1;Control-10;98;122;1181;721
EXP1;Control-10;103;115;784;146
EXP1;Control-10;109;116;1191;931
EXP1;Control-10;110;120;685;316
EXP1;Control-10;117;132;1117;481
EXP1;Control-10;118;130;195;790
EXP1;Control-10;119;139;529;154
EXP1;Control-10;132;141;918;339
EXP1;Control-10;140;152;398;563
EXP1;Control-10;193;205;1010;840
EXP1;Control-10;211;221;1080;96
EXP1;Control-10;211;222;426;452
EXP1;Control-10;211;218;308;1052
EXP1;Control-10;213;226;593;844
EXP1;Control-10;214;224;375;269
EXP1;Control-10;223;237;802;734
EXP1;Control-10;229;238;862;216
EXP1;Control-10;234;245;958;420
EXP1;Control-10;235;249;710;113
EXP1;Control-10;239;247;1257;532
EXP1;Control-11;48;65;1122;1033
EXP1;Control-11;57;77;333;422
EXP1;Control-11;73;88;952;54
EXP1;Control-11;116;126;1126;105
EXP1;Control-11;139;148;929;316
EXP1;Control-11;156;166;856;626
EXP1;Control-11;187;200;185;684
EXP1;Control-11;198;209;93;276
EXP1;Control-1;6;16;391;19
EXP1;Control-1;34;46;732;402
EXP1;Control-1;39;58;603;106
EXP1;Control-1;65;75;956;513
EXP1;Control-1;68;80;1210;864
EXP1;Control-1;86;97;1566;766
EXP1;Control-1;111;128;368;684
EXP1;Control-1;116;133;1512;204
EXP1;Control-1;129;141;494;1081
EXP1;Control-1;171;204;1310;507
EXP1;Control-1;192;204;1369;772
EXP1;Control-1;208;224;662;491
EXP1;Control-1;209;216;1104;470
EXP1;Control-1;206;224;663;499
EXP1;Control-1;211;221;1558;836
EXP1;Control-1;225;234;625;673
EXP1;Control-2;35;57;493;733
EXP1;Control-2;33;58;484;297
EXP1;Control-2;69;81;1103;927
EXP1;Control-2;86;96;1349;248
EXP1;Control-2;97;127;1016;566
EXP1;Control-2;101;115;968;324
EXP1;Control-2;102;121;751;211
EXP1;Control-2;108;123;1344;539
EXP1;Control-2;138;144;552;768
EXP1;Control-2;139;150;426;500
EXP1;Control-2;140;150;626;539
EXP1;Control-2;140;149;505;53
EXP1;Control-2;212;221;391;192
EXP1;Control-2;227;239;266;258
EXP1;Control-3;5;15;865;1069
EXP1;Control-3;9;15;556;270
EXP1;Control-3;24;34;1108;184
EXP1;Control-3;32;39;615;353
EXP1;Control-3;47;62;757;985
EXP1;Control-3;51;63;1016;938
EXP1;Control-3;60;73;1067;506
EXP1;Control-3;70;91;1110;976
EXP1;Control-3;102;114;473;917
EXP1;Control-3;105;117;212;664
EXP1;Control-3;110;120;708;546
EXP1;Control-3;119;134;675;745
EXP1;Control-3;121;140;1448;648
EXP1;Control-3;128;140;400;696
EXP1;Control-3;130;140;901;1044
EXP1;Control-3;141;151;361;1049
EXP1;Control-3;148;164;325;522
EXP1;Control-3;148;155;1289;323
EXP1;Control-3;151;158;870;453
EXP1;Control-3;157;169;641;242
EXP1;Control-3;160;175;308;131
EXP1;Control-3;171;181;1173;675
EXP1;Control-3;173;185;1066;561
EXP1;Control-3;189;199;852;920
EXP1;Control-4;38;46;1260;1047
EXP1;Control-4;78;91;520;1056
EXP1;Control-4;78;86;1536;131
EXP1;Control-4;79;97;810;310
EXP1;Control-4;86;99;128;1009
EXP1;Control-4;97;109;54;896
EXP1;Control-4;109;124;388;95
EXP1;Control-4;114;132;1295;727
EXP1;Control-4;115;128;493;325
EXP1;Control-4;116;128;791;627
EXP1;Control-4;137;147;306;837
EXP1;Control-4;149;160;823;702
EXP1;Control-4;153;172;1073;847
EXP1;Control-4;154;172;264;668
EXP1;Control-4;162;175;1273;926
EXP1;Control-4;204;211;1000;488
EXP1;Control-4;200;208;498;1012
EXP1;Control-4;205;213;316;1070
EXP1;Control-4;209;218;136;886
