exp;video;id;mother track;daughter track(s);metaphase frame - mitosis video;cytokinesis frame - mitosis video;first MT cut frame - mitosis video;second MT cut frame - mitosis video;metaphase frame;cytokinesis frame;first MT cut frame;second MT cut frame;position midbody x;position midbody y;first MT cut time;second MT cut time;;matched cytokinesis frame;matched cut frame;matched position midbody x;matched position midbody y
EXP1;Control-10;0;6;172;10;10;NO_CUT_DETECTED;NO_CUT_DETECTED;243;243;NO_CUT_DETECTED;NO_CUT_DETECTED;917;354;;;;-1;-1;-1;-1
EXP1;Control-10;10;6;109;7;13;22;23;127;133;142;143;953;380;90;100;;132;141;918;339
EXP1;Control-10;11;2;102;7;11;32;32;115;119;140;140;523;155;210;210;;119;139;529;154
EXP1;Control-10;12;12;101;7;12;TOO_SHORT_CUT;TOO_SHORT_CUT;113;118;TOO_SHORT_CUT;TOO_SHORT_CUT;266;709;;;;118;130;195;790
EXP1;Control-10;13;5;96;8;12;TOO_SHORT_CUT;TOO_SHORT_CUT;106;110;TOO_SHORT_CUT;TOO_SHORT_CUT;665;345;;;;110;120;685;316
EXP1;Control-10;14;10;95;8;11;18;21;106;109;116;119;1063;847;70;100;;-1;-1;-1;-1
EXP1;Control-10;15;3;93;9;12;23;27;100;103;114;118;778;119;110;150;;103;115;784;146
EXP1;Control-10;16;11;88;9;11;35;37;96;98;122;124;1128;816;240;260;;98;122;1181;721
EXP1;Control-10;17;4;80;9;12;23;26;79;82;93;96;372;320;110;140;;82;96;413;325
EXP1;Control-10;18;15;76;10;12;21;22;74;76;85;86;532;872;90;100;;75;91;469;948
EXP1;Control-10;19;16;73;7;11;NO_CUT_DETECTED;NO_CUT_DETECTED;62;66;NO_CUT_DETECTED;NO_CUT_DETECTED;1538;905;;;;66;78;1529;920
EXP1;Control-10;1;109;164;10;12;TOO_SHORT_CUT;TOO_SHORT_CUT;233;235;TOO_SHORT_CUT;TOO_SHORT_CUT;997;467;;;;234;245;958;420
EXP1;Control-10;20;13;37;11;13;33;34;25;27;47;48;816;906;200;210;;26;47;891;938
EXP1;Control-10;21;6;27;8;10;28;29;8;10;28;29;681;269;180;190;;-1;-1;-1;-1
EXP1;Control-10;2;93;163;8;12;25;28;231;235;248;251;713;122;130;160;;235;249;710;113
EXP1;Control-10;3;3;160;6;12;TOO_SHORT_CUT;TOO_SHORT_CUT;223;229;TOO_SHORT_CUT;TOO_SHORT_CUT;924;240;;;;229;238;862;216
